name_elected,position,in_office,party,pronunciation,hometown,latitude,longitude,countyname,electoral_district,image_path
Joan Kelly Horn,U.S. House of Representatives,1991–1993,D,Missour-ee,"St. Louis",38.627003,-90.199402,St. Louis City,2nd,joan-kelly-horn.jpg
Jim Talent,U.S. House of Representatives; Senator,1993–2001,R,Both,"Des Peres",38.6009,-90.4329,St. Louis,2nd,jim-talent.jpg
Kenny Hulshof,U.S. House of Representatives,1997–2009,R,Missour-ee,"Sikeston",36.8767,-89.5879,Scott; New Madrid,9th,kenny-hulshof.jpg
Roy Blunt,U.S. House of Representatives,1997–2011,R,Missour-ah,"Niangua",37.3873,-92.8327,Webster,7th,roy-blunt.jpg
Todd Akin,U.S. House of Representatives,2001–2013,R,Missour-ee,"St. Louis",38.627003,-90.199402,St. Louis City,2nd,todd-akin.jpg
Russ Carnahan,U.S. House of Representatives,2005–2013,D,Missour-ee,"Columbia",38.9517,-92.3341,Boone,3rd,russ-carnahan.jpg
Harry S. Truman,Senator; President,1935–1945,D,Missour-ah,"Independence",39.0911,-94.4155,Jackson,N/A,harry-s.-truman.jpg
John Danforth,Senator,1976–1995,R,Missour-ah,"St. Louis",38.627003,-90.199402,St. Louis City,N/A,john-danforth.jpg
Claire McCaskill,Senator,2007–2019,D,Both,"Houston",37.3262,-91.956,Texas,N/A,claire-mccaskill.jpg
Josh Hawley,Senator,2019–Present,R,Missour-ee,"Lexington",39.1847,-93.8799,Lafayette,N/A,josh-hawley.jpg
Mike Parsons,Governor,2018 - Current,R,Missour-ee,"Wheatland",37.9414246,-93.4065398,Hickory,NA,mike-parsons.jpg
Eric Greitens,Governor,2017 - 2018,R,Missour-ee,"St. Louis",38.6929771,-90.4671623,St. Louis,NA,eric-greitens.jpg
Jay Nixon,Governor,2009 - 2017,D,Both,"De Soto",38.1343347,-90.5713093,Jefferson,NA,jay-nixon.jpg
Matt Blunt,Governor,2005 - 2009,R,Missour-ah,"Springfield",37.2056659,-93.3224968,Greene,NA,matt-blunt.jpg
Bob Holden,Governor,2001 - 2005,D,Missour-ee,"Birch Tree",36.9916352,-91.5008822,Shannon,NA,bob-holden.jpg
Roger B. Wilson,Governor,2000 - 2001,D,Missour-ah,"Columbia",38.9495751,-92.3464253,Boone,NA,roger-b.-wilson.jpg
Mel Carnahan,Governor,1993 - 2000,D,Missour-ee,"Rolla",37.9491256,-91.7766041,Phelps,NA,mel-carnahan.jpg
John Ashcroft,Governor,1985 - 1993,R,Missour-ah,"Springfield",37.1855868,-93.3100662,Greene,NA,john-ashcroft.jpg
Kit Bond,Governor,1981 - 1985,R,Missour-ah,"Mexico",39.1685366,-91.8870031,Audrain,NA,kit-bond.jpg
Joe Adams,State Representative,"2015 - 2019; 2021 - Present",D,Missour-ee,Kansas City,39.0585258,-94.5715677,Jackson,86,joe-adams.jpg
Rasheen Aldridge,State Representative,2019 - Present,D,Missour-ee,St. Louis,38.6267963,-90.2015429,St. Louis City,78,rasheen-aldridge.jpg
Allen Andrews,State Representative,2015 - Present,R,Missour-ee,St. Joseph,39.7636119,-94.8254416,Buchanan,1,allen-andrews.jpg
LaDonna Appelbaum,State Representative,2019 - Present,D,Missour-ee,Springfield,37.2025806,-93.3068955,Greene,71,ladonna-appelbaum.jpg
Darrell Atchison,State Representative,2021 - Present,R,Missour-ah,Williamsville,36.9745462,-90.5548628,Wayne,153,darrell-atchison.jpg
Ashley Aune,State Representative,2021 - Present,D,Missour-ee,Kansas City,39.1463709,-94.5786877,Clay,14,ashley-aune.jpg
Dottie Bailey,State Representative,2019 - Present,R,Missour-ee,"Belleville, IL / Greater St. Louis",38.5206975,-90.2863353,St. Louis,110,dottie-bailey.jpg
Ben Baker,State Representative,2019 - Present,R,Missour-ee,"Indianapolis, IN",39.7628725,-86.1738419,Marion,160,ben-baker.jpg
Gretchen Bangert,State Representative,2017 - Present,D,Missour-ee,"Evanston, IL",42.0218,-87.7715196,Cook,69,gretchen-bangert.jpg
Donna Baringer,State Representative,2017 - Present,D,Missour-ee,St. Louis,38.6229108,-90.5274926,St. Louis,82,donna-baringer.jpg
Chuck Basye,State Representative,2015 - Present,R,Missour-ee,Kansas City,39.0722535,-94.4975272,jackson,47,chuck-basye.jpg